'11121';'Innsbruck';'579';'2019-04-09';'00:00';'263';'°';'2019-04-09 00:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'01:00';'137';'°';'2019-04-09 01:15:09'
'11121';'Innsbruck';'579';'2019-04-09';'02:00';'229';'°';'2019-04-09 02:15:07'
'11121';'Innsbruck';'579';'2019-04-09';'03:00';'302';'°';'2019-04-09 03:15:07'
'11121';'Innsbruck';'579';'2019-04-09';'04:00';'260';'°';'2019-04-09 04:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'05:00';'290';'°';'2019-04-09 05:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'06:00';'168';'°';'2019-04-09 06:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'07:00';'195';'°';'2019-04-09 07:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'08:00';'120';'°';'2019-04-09 08:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'09:00';'121';'°';'2019-04-09 09:15:11'
'11121';'Innsbruck';'579';'2019-04-09';'10:00';'86';'°';'2019-04-09 10:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'11:00';'121';'°';'2019-04-09 11:15:09'
'11121';'Innsbruck';'579';'2019-04-09';'12:00';'246';'°';'2019-04-09 12:15:13'
'11121';'Innsbruck';'579';'2019-04-09';'13:00';'322';'°';'2019-04-09 13:15:10'
'11121';'Innsbruck';'579';'2019-04-09';'14:00';'269';'°';'2019-04-09 14:15:09'
'11121';'Innsbruck';'579';'2019-04-09';'15:00';'283';'°';'2019-04-09 15:15:09'
'11121';'Innsbruck';'579';'2019-04-09';'16:00';'287';'°';'2019-04-09 16:15:09'
'11121';'Innsbruck';'579';'2019-04-09';'17:00';'281';'°';'2019-04-09 17:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'18:00';'246';'°';'2019-04-09 18:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'19:00';'200';'°';'2019-04-09 19:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'20:00';'347';'°';'2019-04-09 20:15:13'
'11121';'Innsbruck';'579';'2019-04-09';'21:00';'274';'°';'2019-04-09 21:15:13'
'11121';'Innsbruck';'579';'2019-04-09';'22:00';'203';'°';'2019-04-09 22:15:08'
'11121';'Innsbruck';'579';'2019-04-09';'23:00';'295';'°';'2019-04-09 23:15:09'
